Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism
Q01114	reviewed	IL9R_MOUSE	Interleukin-9 receptor (IL-9 receptor) (IL-9R) (CD antigen CD129)	Il9r	Mus musculus (Mouse)
Q01231	reviewed	CXA5_MOUSE	Gap junction alpha-5 protein (Connexin-40) (Cx40)	Gja5 Cxn-40	Mus musculus (Mouse)
Q01279	reviewed	EGFR_MOUSE	Epidermal growth factor receptor (EC 2.7.10.1)	Egfr	Mus musculus (Mouse)
Q01337	reviewed	ADA2C_MOUSE	Alpha-2C adrenergic receptor (Alpha-2 adrenergic receptor subtype C4) (Alpha-2C adrenoreceptor) (Alpha-2C adrenoceptor) (Alpha-2CAR)	Adra2c	Mus musculus (Mouse)
Q01338	reviewed	ADA2A_MOUSE	Alpha-2A adrenergic receptor (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	Adra2a	Mus musculus (Mouse)
Q01341	reviewed	ADCY6_MOUSE	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (AC6) (Ca(2+)-inhibitable adenylyl cyclase)	Adcy6	Mus musculus (Mouse)
Q01514	reviewed	GBP1_MOUSE	Guanylate-binding protein 1 (EC 3.6.1.-) (EC 3.6.5.-) (GTP-binding protein 1) (GBP-1) (mGBP-1) (mGBP1) (Guanine nucleotide-binding protein 1) (Interferon-gamma-inducible protein MAG-1) (Interferon-induced guanylate-binding protein 1)	Gbp1 Gbp-1 Mag-1 Mpa1	Mus musculus (Mouse)
Q01705	reviewed	NOTC1_MOUSE	Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	Notch1 Motch	Mus musculus (Mouse)
Q01721	reviewed	GAS1_MOUSE	Growth arrest-specific protein 1 (GAS-1)	Gas1 Gas-1	Mus musculus (Mouse)
Q01727	reviewed	MSHR_MOUSE	Melanocyte-stimulating hormone receptor (MSH-R) (Melanocortin receptor 1) (MC1-R)	Mc1r Msh-r	Mus musculus (Mouse)
Q01815	reviewed	CAC1C_MOUSE	Voltage-dependent L-type calcium channel subunit alpha-1C (Calcium channel, L type, alpha-1 polypeptide, isoform 1, cardiac muscle) (MELC-CC) (Mouse brain class C) (MBC) (Voltage-gated calcium channel subunit alpha Cav1.2)	Cacna1c Cach2 Cacn2 Cacnl1a1 Cchl1a1	Mus musculus (Mouse)
Q01965	reviewed	LY9_MOUSE	T-lymphocyte surface antigen Ly-9 (Cell surface molecule Ly-9) (Lymphocyte antigen 9) (SLAM family member 3) (SLAMF3) (Signaling lymphocytic activation molecule 3) (CD antigen CD229)	Ly9 Ly-9	Mus musculus (Mouse)
Q02013	reviewed	AQP1_MOUSE	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Delayed early response protein 2) (DER2) (Water channel protein for red blood cells and kidney proximal tubule)	Aqp1	Mus musculus (Mouse)
Q02111	reviewed	KPCT_MOUSE	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	Prkcq Pkcq	Mus musculus (Mouse)
Q02152	reviewed	5HT2B_MOUSE	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (5-HT-2F) (NP75 protein) (Serotonin receptor 2B)	Htr2b	Mus musculus (Mouse)
Q02242	reviewed	PDCD1_MOUSE	Programmed cell death protein 1 (Protein PD-1) (mPD-1) (CD antigen CD279)	Pdcd1 Pd1	Mus musculus (Mouse)
Q02248	reviewed	CTNB1_MOUSE	Catenin beta-1 (Beta-catenin)	Ctnnb1 Catnb	Mus musculus (Mouse)
Q02496	reviewed	MUC1_MOUSE	Mucin-1 (MUC-1) (Episialin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]	Muc1 Muc-1	Mus musculus (Mouse)
Q02596	reviewed	GLCM1_MOUSE	Glycosylation-dependent cell adhesion molecule 1 (GlyCAM-1) (Endothelial ligand FOR L-selectin) (MC26) (SGP50) (Sulfated 50 kDa glycoprotein)	Glycam1	Mus musculus (Mouse)
Q02738	reviewed	CXB4_MOUSE	Gap junction beta-4 protein (Connexin-30.3) (Cx30.3)	Gjb4 Cxn-30.3	Mus musculus (Mouse)
Q02789	reviewed	CAC1S_MOUSE	Voltage-dependent L-type calcium channel subunit alpha-1S (Calcium channel, L type, alpha-1 polypeptide, isoform 3, skeletal muscle) (Dihydropyridine receptor) (DHPR) (Voltage-gated calcium channel subunit alpha Cav1.1)	Cacna1s Cach1 Cach1b Cacn1 Cacnl1a3	Mus musculus (Mouse)
Q02858	reviewed	TIE2_MOUSE	Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (HYK) (STK1) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (mTIE2) (p140 TEK) (CD antigen CD202b)	Tek Hyk Tie-2 Tie2	Mus musculus (Mouse)
Q03137	reviewed	EPHA4_MOUSE	Ephrin type-A receptor 4 (EC 2.7.10.1) (Tyrosine-protein kinase receptor MPK-3) (Tyrosine-protein kinase receptor SEK-1)	Epha4 Sek Sek1	Mus musculus (Mouse)
Q03141	reviewed	MARK3_MOUSE	MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (ELKL motif kinase 2) (EMK-2) (MPK-10)	Mark3 Emk2 Mpk10	Mus musculus (Mouse)
Q03142	reviewed	FGFR4_MOUSE	Fibroblast growth factor receptor 4 (FGFR-4) (EC 2.7.10.1) (Protein-tyrosine kinase receptor MPK-11) (CD antigen CD334)	Fgfr4 Fgfr-4 Mpk-11	Mus musculus (Mouse)
Q03145	reviewed	EPHA2_MOUSE	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK) (Tyrosine-protein kinase receptor MPK-5) (Tyrosine-protein kinase receptor SEK-2)	Epha2 Eck Myk2 Sek2	Mus musculus (Mouse)
Q03146	reviewed	DDR1_MOUSE	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (Protein-tyrosine kinase MPK-6) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	Ddr1 Cak Eddr1 Mpk6	Mus musculus (Mouse)
Q03157	reviewed	APLP1_MOUSE	Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30]	Aplp1	Mus musculus (Mouse)
Q03160	reviewed	GRB7_MOUSE	Growth factor receptor-bound protein 7 (Epidermal growth factor receptor GRB-7) (GRB7 adapter protein)	Grb7	Mus musculus (Mouse)
Q03265	reviewed	ATPA_MOUSE	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	Atp5f1a Atp5a1	Mus musculus (Mouse)
Q03391	reviewed	NMDE4_MOUSE	Glutamate receptor ionotropic, NMDA 2D (GluN2D) (Glutamate [NMDA] receptor subunit epsilon-4) (N-methyl D-aspartate receptor subtype 2D) (NMDAR2D) (NR2D)	Grin2d GluN2D	Mus musculus (Mouse)
Q03717	reviewed	KCNB1_MOUSE	Potassium voltage-gated channel subfamily B member 1 (Voltage-gated potassium channel subunit Kv2.1) (mShab)	Kcnb1	Mus musculus (Mouse)
Q04447	reviewed	KCRB_MOUSE	Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	Ckb Ckbb	Mus musculus (Mouse)
Q04573	reviewed	NPY1R_MOUSE	Neuropeptide Y receptor type 1 (NPY1-R)	Npy1r	Mus musculus (Mouse)
Q04683	reviewed	CXCR5_MOUSE	C-X-C chemokine receptor type 5 (CXC-R5) (CXCR-5) (Burkitt lymphoma receptor 1 homolog) (CD antigen CD185)	Cxcr5 Blr1 Gpcr6	Mus musculus (Mouse)
Q04690	reviewed	NF1_MOUSE	Neurofibromin (Neurofibromatosis-related protein NF-1)	Nf1	Mus musculus (Mouse)
Q04735	reviewed	CDK16_MOUSE	Cyclin-dependent kinase 16 (EC 2.7.11.22) (CRK5) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)	Cdk16 Crk5 Pctaire1 Pctk1	Mus musculus (Mouse)
Q04736	reviewed	YES_MOUSE	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	Yes1 Yes	Mus musculus (Mouse)
Q05512	reviewed	MARK2_MOUSE	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (mPar-1b)	Mark2 Emk	Mus musculus (Mouse)
Q05860	reviewed	FMN1_MOUSE	Formin-1 (Limb deformity protein)	Fmn1 Fmn Ld	Mus musculus (Mouse)
Q05928	reviewed	BTC_MOUSE	Probetacellulin [Cleaved into: Betacellulin (BTC)]	Btc Bcn	Mus musculus (Mouse)
Q059Y8	reviewed	DCST1_MOUSE	E3 ubiquitin-protein ligase DCST1 (EC 2.3.2.27) (DC-STAMP domain-containing protein 1) (RING-type E3 ubiquitin transferase)	Dcst1	Mus musculus (Mouse)
Q05A80	reviewed	CAPR2_MOUSE	Caprin-2 (C1q domain-containing protein 1) (Cytoplasmic activation/proliferation-associated protein 2) (RNA granule protein 140)	Caprin2 C1qdc1 Kiaa1873 Rng140	Mus musculus (Mouse)
Q05AA6	reviewed	DRP2_MOUSE	Dystrophin-related protein 2 (DRP-2)	Drp2	Mus musculus (Mouse)
Q05BQ1	reviewed	TUTLA_MOUSE	Protein turtle homolog A (Dendrite arborization and synapse maturation protein 1) (Immunoglobulin superfamily member 9A) (IgSF9A)	Igsf9 Dasm1 Igsf9a Nrt1	Mus musculus (Mouse)
Q06180	reviewed	PTN2_MOUSE	Tyrosine-protein phosphatase non-receptor type 2 (Protein-tyrosine phosphatase PTP-2) (EC 3.1.3.48) (MPTP)	Ptpn2 Ptpt	Mus musculus (Mouse)
Q06186	reviewed	HBEGF_MOUSE	Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor (HB-EGF) (HBEGF)]	Hbegf Dtr Hegfl	Mus musculus (Mouse)
Q06335	reviewed	APLP2_MOUSE	Amyloid beta precursor like protein 2 (Amyloid beta (A4) precursor-like protein 2) (Amyloid protein homolog) (Amyloid-like protein 2) (APLP-2) (CDEI box-binding protein) (CDEBP) (Sperm membrane protein YWK-II)	Aplp2 APPL2	Mus musculus (Mouse)
Q06507	reviewed	ATF4_MOUSE	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (C/EBP-related ATF) (C/ATF) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2)	Atf4 Creb2	Mus musculus (Mouse)
Q06806	reviewed	TIE1_MOUSE	Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)	Tie1 Tie Tie-1	Mus musculus (Mouse)
Q07456	reviewed	AMBP_MOUSE	Protein AMBP [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (HI-30); Trypstatin]	Ambp Itil	Mus musculus (Mouse)
Q07763	reviewed	CD244_MOUSE	Natural killer cell receptor 2B4 (NK cell type I receptor protein 2B4) (NKR2B4) (Non-MHC restricted killing associated) (SLAM family member 4) (SLAMF4) (Signaling lymphocytic activation molecule 4) (CD antigen CD244)	Cd244 2b4 Nmrk	Mus musculus (Mouse)
Q08351	reviewed	TPOR_MOUSE	Thrombopoietin receptor (TPO-R) (Myeloproliferative leukemia protein) (Proto-oncogene c-Mpl) (CD antigen CD110)	Mpl Tpor	Mus musculus (Mouse)
Q08460	reviewed	KCMA1_MOUSE	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (mSlo1) (Slowpoke homolog) (Slo homolog) (mSlo)	Kcnma1 Kcnma	Mus musculus (Mouse)
Q08481	reviewed	PECA1_MOUSE	Platelet endothelial cell adhesion molecule (PECAM-1) (CD antigen CD31)	Pecam1 Pecam Pecam-1	Mus musculus (Mouse)
Q08509	reviewed	EPS8_MOUSE	Epidermal growth factor receptor kinase substrate 8	Eps8	Mus musculus (Mouse)
Q08857	reviewed	CD36_MOUSE	Platelet glycoprotein 4 (Glycoprotein IIIb) (GPIIIB) (PAS IV) (PAS-4) (Platelet glycoprotein IV) (GPIV) (CD antigen CD36)	Cd36	Mus musculus (Mouse)
Q09143	reviewed	CTR1_MOUSE	High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor) (Ecotropic retrovirus receptor) (ERR) (EcoR) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter)	Slc7a1 Atrc1 Rec-1	Mus musculus (Mouse)
Q0P543	reviewed	GIPR_MOUSE	Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor)	Gipr	Mus musculus (Mouse)
Q0PMG2	reviewed	MDGA1_MOUSE	MAM domain-containing glycosylphosphatidylinositol anchor protein 1	Mdga1	Mus musculus (Mouse)
Q0QWG9	reviewed	GRD2I_MOUSE	Delphilin (Glutamate receptor, ionotropic, delta 2-interacting protein 1)	Grid2ip	Mus musculus (Mouse)
Q0VBD0	reviewed	ITB8_MOUSE	Integrin beta-8	Itgb8	Mus musculus (Mouse)
Q148W0	reviewed	AT8B1_MOUSE	Phospholipid-transporting ATPase IC (EC 7.6.2.1) (ATPase class I type 8B member 1) (P4-ATPase flippase complex alpha subunit ATP8B1)	Atp8b1	Mus musculus (Mouse)
Q149L7	reviewed	CRTAM_MOUSE	Cytotoxic and regulatory T-cell molecule (Class-I MHC-restricted T-cell-associated molecule) (CD antigen CD355)	Crtam	Mus musculus (Mouse)
Q14AT5	reviewed	ANO7_MOUSE	Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G)	Ano7 Ngep Tmem16g	Mus musculus (Mouse)
Q14B62	reviewed	PTHD1_MOUSE	Patched domain-containing protein 1	ptchd1	Mus musculus (Mouse)
Q14B80	reviewed	KCNC2_MOUSE	Potassium voltage-gated channel subfamily C member 2 (Shaw-like potassium channel) (Voltage-gated potassium channel Kv3.2)	Kcnc2	Mus musculus (Mouse)
Q14BI2	reviewed	GRM2_MOUSE	Metabotropic glutamate receptor 2 (mGluR2)	Grm2 Gprc1b Mglur2	Mus musculus (Mouse)
Q14BX2	reviewed	PRS55_MOUSE	Serine protease 55 (EC 3.4.21.-)	Prss55	Mus musculus (Mouse)
Q18PE0	reviewed	DOK7_MOUSE	Protein Dok-7 (Downstream of tyrosine kinase 7)	Dok7	Mus musculus (Mouse)
Q18PI6	reviewed	SLAF5_MOUSE	SLAM family member 5 (Leukocyte differentiation antigen CD84) (Signaling lymphocytic activation molecule 5) (CD antigen CD84)	Cd84 Slamf5	Mus musculus (Mouse)
Q1ERP8	reviewed	CLM9_MOUSE	CMRF35-like molecule 9 (CLM-9) (CD300 antigen-like family member G) (Nepmucin) (CD antigen CD300g)	Cd300lg Clm9 D11Ertd736e	Mus musculus (Mouse)
Q1JRP2	reviewed	TM11C_MOUSE	Transmembrane protease serine 11C (EC 3.4.21.-) (Neurobin) [Cleaved into: Transmembrane protease serine 11C non-catalytic chain; Transmembrane protease serine 11C catalytic chain]	Tmprss11c	Mus musculus (Mouse)
Q1XH17	reviewed	TRI72_MOUSE	Tripartite motif-containing protein 72 (Mitsugumin-53) (Mg53)	Trim72 Mg53	Mus musculus (Mouse)
Q2EG98	reviewed	PK1L3_MOUSE	Polycystin-1-like protein 3 (Polycystin-1L3) (PC1-like 3 protein) (Polycystic kidney disease protein 1-like 3)	Pkd1l3 71B10	Mus musculus (Mouse)
Q2HJ10	reviewed	ZNT2_MOUSE	Proton-coupled zinc antiporter SLC30A2 (Solute carrier family 30 member 2) (Zinc transporter 2) (ZnT-2)	Slc30a2 Znt2	Mus musculus (Mouse)
Q2MKA5	reviewed	ACHA5_MOUSE	Neuronal acetylcholine receptor subunit alpha-5	Chrna5	Mus musculus (Mouse)
Q2PFD7	reviewed	PSD3_MOUSE	PH and SEC7 domain-containing protein 3 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 D) (Exchange factor for ARF6 D) (Pleckstrin homology and SEC7 domain-containing protein 3)	Psd3 Efa6d Kiaa0942	Mus musculus (Mouse)
Q2Q5T5	reviewed	MYMX_MOUSE	Protein myomixer (Embryonic stem cell- and germ cell-specific protein) (ESGP) (Microprotein inducer of fusion) (Protein minion) (Protein myomerger)	Mymx Gm7325	Mus musculus (Mouse)
Q2QI47	reviewed	USH2A_MOUSE	Usherin (Usher syndrome type IIa protein homolog) (Usher syndrome type-2A protein homolog)	Ush2A Gm676	Mus musculus (Mouse)
Q2QKR2	reviewed	DESPR_MOUSE	Dual endothelin-1/VEGF signal peptide receptor (DEspR protein) (Dual endothelin-1/VEGFsp receptor) (FBXW7 antisense RNA 1 homolog)	Fbxw7-as1 Dear Dear1 Fbxw7as1	Mus musculus (Mouse)
Q2TB54	reviewed	FCAMR_MOUSE	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor (Fc alpha/mu receptor) (mFcamR) (CD antigen CD351)	Fcamr	Mus musculus (Mouse)
Q2TBE6	reviewed	P4K2A_MOUSE	Phosphatidylinositol 4-kinase type 2-alpha (EC 2.7.1.67) (Phosphatidylinositol 4-kinase type II-alpha)	Pi4k2a	Mus musculus (Mouse)
Q2TV84	reviewed	TRPM1_MOUSE	Transient receptor potential cation channel subfamily M member 1 (Long transient receptor potential channel 1) (LTrpC1) (Melastatin-1)	Trpm1 Ltrpc1	Mus musculus (Mouse)
Q2WF71	reviewed	LRFN1_MOUSE	Leucine-rich repeat and fibronectin type III domain-containing protein 1 (Synaptic adhesion-like molecule 2) (Synaptic differentiation-enhancing molecule 1)	Lrfn1 Salm2 Semo1	Mus musculus (Mouse)
Q32M21	reviewed	GSDA2_MOUSE	Gasdermin-A2 (Gasdermin-2) [Cleaved into: Gasdermin-A2, N-terminal (GSDMA2-NT); Gasdermin-A2, C-terminal (GSDMA2-CT)]	Gsdma2 Gsdm2	Mus musculus (Mouse)
Q32MD9	reviewed	CDON_MOUSE	Cell adhesion molecule-related/down-regulated by oncogenes	Cdon Cdo	Mus musculus (Mouse)
Q3LRV9	reviewed	TRML4_MOUSE	Trem-like transcript 4 protein (TLT-4) (Triggering receptor expressed on myeloid cells-like protein 3) (Triggering receptor expressed on myeloid cells-like protein 4)	Treml4 TLT4 Treml3	Mus musculus (Mouse)
Q3T9M1	reviewed	MFS2B_MOUSE	Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (mMfsd2b)	Mfsd2b Gm1964	Mus musculus (Mouse)
Q3T9X0	reviewed	GTR9_MOUSE	Solute carrier family 2, facilitated glucose transporter member 9 (Glucose transporter type 9) (GLUT-9) (Urate transporter)	Slc2a9 Glut9	Mus musculus (Mouse)
Q3TB92	reviewed	MILR1_MOUSE	Allergin-1 (Allergy inhibitory receptor 1) (Mast cell antigen 32) (MCA-32) (Mast cell Ag-32) (Mast cell immunoglobulin-like receptor 1)	Milr1 Gm885 Mca32	Mus musculus (Mouse)
Q3TBL6	reviewed	TP8L3_MOUSE	Tumor necrosis factor alpha-induced protein 8-like protein 3 (TNF alpha-induced protein 8-like protein 3) (TNFAIP8-like protein 3)	Tnfaip8l3	Mus musculus (Mouse)
Q3TBT3	reviewed	STING_MOUSE	Stimulator of interferon genes protein (mSTING) (Endoplasmic reticulum interferon stimulator) (ERIS) (Mediator of IRF3 activation) (MMITA) (Transmembrane protein 173)	Sting1 Eris Mita Mpys Sting Tmem173	Mus musculus (Mouse)
Q3TD49	reviewed	SPP2B_MOUSE	Signal peptide peptidase-like 2B (SPP-like 2B) (SPPL2b) (EC 3.4.23.-)	Sppl2b	Mus musculus (Mouse)
Q3TFD2	reviewed	PCAT1_MOUSE	Lysophosphatidylcholine acyltransferase 1 (LPC acyltransferase 1) (LPCAT-1) (LysoPC acyltransferase 1) (mLPCAT1) (EC 2.3.1.23) (1-acylglycerol-3-phosphate O-acyltransferase) (EC 2.3.1.51) (1-acylglycerophosphocholine O-acyltransferase) (1-alkenylglycerophosphocholine O-acyltransferase) (EC 2.3.1.25) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 2)	Lpcat1 Aytl2	Mus musculus (Mouse)
Q3TIR3	reviewed	RIC8A_MOUSE	Synembryn-A (Protein Ric-8A)	Ric8a Ric8	Mus musculus (Mouse)
Q3TIW9	reviewed	ENPP7_MOUSE	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)	Enpp7	Mus musculus (Mouse)
Q3TN34	reviewed	MILK2_MOUSE	MICAL-like protein 2 (Junctional Rab13-binding protein) (Molecule interacting with CasL-like 2) (MICAL-L2)	Micall2 Jrab	Mus musculus (Mouse)
Q3TTY0	reviewed	PLB1_MOUSE	Phospholipase B1, membrane-associated (Phospholipase B) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A2) (EC 3.1.1.4) (Phospholipase B/lipase) (PLB/LIP) (Triacylglycerol lipase) (EC 3.1.1.3)	Plb1 Plb	Mus musculus (Mouse)
Q3TVW5	reviewed	TCHP_MOUSE	Trichoplein keratin filament-binding protein (Protein TCHP) (Mitochondrial protein with oncostatic activity) (Mitostatin)	Tchp	Mus musculus (Mouse)
Q3TWI9	reviewed	CSCL2_MOUSE	CSC1-like protein 2 (Transmembrane protein 63B)	Tmem63b	Mus musculus (Mouse)
Q3TWL2	reviewed	PP4P1_MOUSE	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)	Pip4p1 Tmem55b	Mus musculus (Mouse)
Q3TWN3	reviewed	CNNM2_MOUSE	Metal transporter CNNM2 (Ancient conserved domain-containing protein 2) (mACDP2) (Cyclin-M2)	Cnnm2 Acdp2	Mus musculus (Mouse)
Q3TXX3	reviewed	ZFY27_MOUSE	Protrudin (Zinc finger FYVE domain-containing protein 27)	Zfyve27	Mus musculus (Mouse)
Q3TXX4	reviewed	VGLU1_MOUSE	Vesicular glutamate transporter 1 (VGluT1) (Brain-specific Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 7)	Slc17a7 Bnpi Vglut1	Mus musculus (Mouse)
Q3TZW0	reviewed	ECSCR_MOUSE	Endothelial cell-specific chemotaxis regulator (Apoptosis regulator through modulating IAP expression) (ARIA) (Endothelial cell-specific molecule 2)	Ecscr Ecsm2	Mus musculus (Mouse)
Q3TZZ7	reviewed	ESYT2_MOUSE	Extended synaptotagmin-2 (E-Syt2)	Esyt2 D12Ertd551e Fam62b	Mus musculus (Mouse)
Q3U0P5	reviewed	ENTP6_MOUSE	Ectonucleoside triphosphate diphosphohydrolase 6 (NTPDase 6) (EC 3.6.1.6) (CD39 antigen-like 2)	Entpd6 Cd39l2	Mus musculus (Mouse)
Q3U1F9	reviewed	PHAG1_MOUSE	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 (Csk-binding protein) (Transmembrane phosphoprotein Cbp)	Pag1 Cbp Pag	Mus musculus (Mouse)
Q3U1J0	reviewed	S38A5_MOUSE	Sodium-coupled neutral amino acid transporter 5 (Solute carrier family 38 member 5) (System N transporter 2)	Slc38a5 Jm24 Sn2 Snat5	Mus musculus (Mouse)
Q3U284	reviewed	TM231_MOUSE	Transmembrane protein 231	Tmem231	Mus musculus (Mouse)
Q3U2S8	reviewed	HVCN1_MOUSE	Voltage-gated hydrogen channel 1 (Hydrogen voltage-gated channel 1) (HV1) (Voltage sensor domain-only protein) (mVSOP)	Hvcn1 Bts Vsop	Mus musculus (Mouse)
Q3U435	reviewed	MMP25_MOUSE	Matrix metalloproteinase-25 (MMP-25) (EC 3.4.24.-)	Mmp25	Mus musculus (Mouse)
Q3U497	reviewed	CLM7_MOUSE	CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (CD antigen CD300b)	Cd300lb Irem3 Lmir5	Mus musculus (Mouse)
Q3U507	reviewed	GP174_MOUSE	Probable G-protein coupled receptor 174	Gpr174 Gm376	Mus musculus (Mouse)
Q3U5F4	reviewed	YRDC_MOUSE	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) (Ischemia/reperfusion-inducible protein) (mIRIP)	Yrdc Irip	Mus musculus (Mouse)
Q3U6B2	reviewed	GP183_MOUSE	G-protein coupled receptor 183 (Epstein-Barr virus-induced G-protein coupled receptor 2 homolog) (EBI2) (EBV-induced G-protein coupled receptor 2 homolog)	Gpr183 Ebi2	Mus musculus (Mouse)
Q3U6Q4	reviewed	PI3R6_MOUSE	Phosphoinositide 3-kinase regulatory subunit 6 (Phosphoinositide 3-kinase gamma adapter protein of 87 kDa) (p84 PI3K adapter protein) (p84 PIKAP) (p87 PI3K adapter protein) (p87PIKAP)	Pik3r6	Mus musculus (Mouse)
Q3U7R1	reviewed	ESYT1_MOUSE	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)	Esyt1 Fam62a Mbc2	Mus musculus (Mouse)
Q3U9N9	reviewed	MOT10_MOUSE	Monocarboxylate transporter 10 (MCT 10) (Aromatic amino acid transporter 1) (Solute carrier family 16 member 10) (T-type amino acid transporter 1)	Slc16a10 Mct10 Tat1	Mus musculus (Mouse)
Q3UEZ8	reviewed	NTCP4_MOUSE	Sodium/bile acid cotransporter 4 (Na(+)/bile acid cotransporter 4) (Solute carrier family 10 member 4)	Slc10a4	Mus musculus (Mouse)
Q3UFB7	reviewed	NTRK1_MOUSE	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1)	Ntrk1	Mus musculus (Mouse)
Q3UFD7	reviewed	FFAR3_MOUSE	Free fatty acid receptor 3 (G-protein coupled receptor 41)	Ffar3 Gm478 Gpr41	Mus musculus (Mouse)
Q3UFJ6	reviewed	T184A_MOUSE	Transmembrane protein 184A (Sexually dimorphic expressed in male gonads 1)	Tmem184a Sdmg1	Mus musculus (Mouse)
Q3UH53	reviewed	SDK1_MOUSE	Protein sidekick-1	Sdk1	Mus musculus (Mouse)
Q3UH66	reviewed	WNK2_MOUSE	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2)	Wnk2 Kiaa1760	Mus musculus (Mouse)
Q3UH93	reviewed	PLXD1_MOUSE	Plexin-D1	Plxnd1	Mus musculus (Mouse)
